id;amount;currency;transaction_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;2806.9;whi;PURCHASE;2025-12-15T08:13:39;2025-12-15T14:37:33;blossom slime;tenement collaboration;2025-12-15T17:40:20
2;24944.69;nea;REFUND;2025-12-15T11:03:30;2025-12-16T03:35:21;drag than gee;dependency;2025-12-15T20:08:36
3;23801.73;chu;REFUND;2025-12-15T18:57:44;2025-12-15T13:35:57;joyous;till hoof incidentally;2025-12-15T16:11:51
4;7013.98;yet;REFUND;2025-12-15T16:44:20;2025-12-15T06:44:02;after whenever exotic;noxious colorfully;2025-12-15T08:32:01
5;16054.92;sad;WITHDRAW;2025-12-15T15:38:43;2025-12-15T22:45:56;internal pish deceivingly;stealthily;2025-12-15T10:21:52
6;20662.81;ew ;REFUND;2025-12-16T01:41:09;2025-12-15T22:53:14;cleave sand provided;muddy hm;2025-12-15T09:21:03
7;5.85;eek;PURCHASE;2025-12-15T19:36:32;2025-12-15T11:09:29;instance;unpleasant ajar gladly;2025-12-16T05:53:00
8;29596.28;ete;REFUND;2025-12-16T00:36:32;2025-12-16T01:04:05;separately gadzooks below;so barge;2025-12-15T19:10:18
9;21158.72;of ;PURCHASE;2025-12-15T19:53:31;2025-12-15T20:43:29;even;extent finished wherever;2025-12-16T03:48:10
10;24382.09;car;TOP_UP;2025-12-15T14:42:41;2025-12-15T07:42:50;pronoun;extroverted vibration wherever;2025-12-15T15:39:16
