id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;like_count;is_preview;created_date;last_modified_date;created_by;last_modified_by;deleted_date;creator_id
1;../fake-data/blob/hipster.png;image/png;gallery/creator1-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator1-beach.jpg;245;false;2025-12-09T10:05:00;2025-12-09T11:25:00;creator1;editor1;2025-12-20T08:45:00;1
2;../fake-data/blob/hipster.png;image/png;gallery/creator2-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator2-studio.jpg;198;true;2025-12-10T09:50:00;2025-12-10T11:05:00;creator2;editor2;2025-12-21T09:15:00;2
3;../fake-data/blob/hipster.png;image/png;gallery/creator3-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator3-portrait.jpg;165;false;2025-12-11T14:20:00;2025-12-11T15:30:00;creator3;editor3;2025-12-22T10:55:00;3
4;../fake-data/blob/hipster.png;image/png;gallery/creator4-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator4-travel.jpg;120;true;2025-12-12T07:10:00;2025-12-12T08:45:00;creator4;editor4;2025-12-23T11:05:00;4
5;../fake-data/blob/hipster.png;image/png;gallery/creator5-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator5-night.jpg;210;false;2025-12-13T12:30:00;2025-12-13T13:20:00;creator5;editor5;2025-12-24T12:20:00;5
6;../fake-data/blob/hipster.png;image/png;gallery/creator6-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator6-promo.jpg;175;true;2025-12-14T16:05:00;2025-12-14T17:00:00;creator6;editor6;2025-12-25T13:05:00;6
7;../fake-data/blob/hipster.png;image/png;gallery/creator7-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator7-backstage.jpg;95;false;2025-12-15T08:45:00;2025-12-15T09:30:00;creator7;editor7;2025-12-26T07:40:00;7
8;../fake-data/blob/hipster.png;image/png;gallery/creator8-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator8-candid.jpg;88;true;2025-12-15T12:25:00;2025-12-15T13:35:00;creator8;editor8;2025-12-26T18:20:00;8
9;../fake-data/blob/hipster.png;image/png;gallery/creator9-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator9-landscape.jpg;132;false;2025-12-16T10:20:00;2025-12-16T11:15:00;creator9;editor9;2025-12-27T09:35:00;9
10;../fake-data/blob/hipster.png;image/png;gallery/creator10-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator10-cover.jpg;160;true;2025-12-17T07:05:00;2025-12-17T08:10:00;creator10;editor10;2025-12-28T11:25:00;10
11;../fake-data/blob/hipster.png;image/png;gallery/creator11-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator11-portrait.jpg;142;false;2025-12-15T08:50:00;2025-12-15T09:00:00;jperez;jperez;2025-12-25T09:10:00;11
12;../fake-data/blob/hipster.png;image/png;gallery/creator12-thumb.jpg;../fake-data/blob/hipster.png;image/png;gallery/creator12-street.jpg;118;true;2025-12-15T08:55:00;2025-12-15T09:01:00;jperez;jperez;2025-12-25T09:15:00;12
